player,team,gp,g,a,tp,ppg,pim,+/-,link,season,league,playername,position
Joël Vermin (F/D),Lausanne HC,49,20,15,35,0.71,28,13,https://www.eliteprospects.com/player/34828/joel-vermin,2018-2019,nl,Joël Vermin (F/D),F/D
Reto Suri (C/W),EV Zug,50,18,17,35,0.70,22,3,https://www.eliteprospects.com/player/15165/reto-suri,2018-2019,nl,Reto Suri (C/W),C/W
Marco Müller (C/W),HC Ambrì-Piotta,50,14,21,35,0.70,42,1,https://www.eliteprospects.com/player/85292/marco-muller,2018-2019,nl,Marco Müller (C/W),C/W
Christoph Bertschy (C/RW),Lausanne HC,50,15,18,33,0.66,22,22,https://www.eliteprospects.com/player/85327/christoph-bertschy,2018-2019,nl,Christoph Bertschy (C/RW),C/RW
Marc-Antoine Pouliot (C/RW),EHC Biel-Bienne,44,14,19,33,0.75,48,9,https://www.eliteprospects.com/player/8919/marc-antoine-pouliot,2018-2019,nl,Marc-Antoine Pouliot (C/RW),C/RW
Andrew Ebbett (C/LW),SC Bern,45,14,19,33,0.73,37,2,https://www.eliteprospects.com/player/10418/andrew-ebbett,2018-2019,nl,Andrew Ebbett (C/LW),C/LW
Denis Hollenstein (LW/RW),ZSC Lions,49,12,21,33,0.67,46,7,https://www.eliteprospects.com/player/11838/denis-hollenstein,2018-2019,nl,Denis Hollenstein (LW/RW),LW/RW
Calle Andersson (D),SC Bern,50,6,27,33,0.66,6,12,https://www.eliteprospects.com/player/30181/calle-andersson,2018-2019,nl,Calle Andersson (D),D
Romain Loeffel (D),HC Lugano,48,10,22,32,0.67,20,12,https://www.eliteprospects.com/player/17681/romain-loeffel,2018-2019,nl,Romain Loeffel (D),D
Simon Bodenmann (LW/RW),ZSC Lions,48,14,17,31,0.65,40,9,https://www.eliteprospects.com/player/15167/simon-bodenmann,2018-2019,nl,Simon Bodenmann (LW/RW),LW/RW
Raphael Díaz (D),EV Zug,43,12,19,31,0.72,10,14,https://www.eliteprospects.com/player/17892/raphael-diaz,2018-2019,nl,Raphael Díaz (D),D
Jim Slater (C),HC Fribourg-Gottéron,48,11,20,31,0.65,117,-4,https://www.eliteprospects.com/player/8562/jim-slater,2018-2019,nl,Jim Slater (C),C
Killian Mottet (LW),HC Fribourg-Gottéron,50,11,20,31,0.62,28,4,https://www.eliteprospects.com/player/34820/killian-mottet,2018-2019,nl,Killian Mottet (LW),LW
Garrett Roe (C),EV Zug,31,9,22,31,1.00,55,14,https://www.eliteprospects.com/player/14867/garrett-roe,2018-2019,nl,Garrett Roe (C),C
Daniel Winnik (W/C),Genève-Servette HC,41,6,25,31,0.76,42,4,https://www.eliteprospects.com/player/11480/daniel-winnik,2018-2019,nl,Daniel Winnik (W/C),W/C
Matt D'Agostini (RW/LW),HC Ambrì-Piotta,37,14,16,30,0.81,14,-4,https://www.eliteprospects.com/player/11721/matt-d-agostini,2018-2019,nl,Matt D'Agostini (RW/LW),RW/LW
Perttu Lindgren (C),HC Davos,41,14,16,30,0.73,16,1,https://www.eliteprospects.com/player/6423/perttu-lindgren,2018-2019,nl,Perttu Lindgren (C),C
Cody Almond (C/LW),Genève-Servette HC,40,12,17,29,0.73,30,-3,https://www.eliteprospects.com/player/11683/cody-almond,2018-2019,nl,Cody Almond (C/LW),C/LW
Ronalds Kenins (LW/RW),Lausanne HC,49,10,19,29,0.59,47,2,https://www.eliteprospects.com/player/22458/ronalds-kenins,2018-2019,nl,Ronalds Kenins (LW/RW),LW/RW
Maxim Lapierre (C),HC Lugano,45,9,20,29,0.64,112,5,https://www.eliteprospects.com/player/8988/maxim-lapierre,2018-2019,nl,Maxim Lapierre (C),C
Aaron Gagnon (C/RW),SCL Tigers,39,14,14,28,0.72,22,7,https://www.eliteprospects.com/player/9498/aaron-gagnon,2018-2019,nl,Aaron Gagnon (C/RW),C/RW
Dennis Everberg (RW/LW),EV Zug,31,12,16,28,0.90,58,9,https://www.eliteprospects.com/player/13549/dennis-everberg,2018-2019,nl,Dennis Everberg (RW/LW),RW/LW
Andres Ambühl (W/C),HC Davos,50,12,16,28,0.56,57,-12,https://www.eliteprospects.com/player/12672/andres-ambuhl,2018-2019,nl,Andres Ambühl (W/C),W/C
Inti Pestoni (LW),HC Davos,48,10,18,28,0.58,14,-3,https://www.eliteprospects.com/player/34822/inti-pestoni,2018-2019,nl,Inti Pestoni (LW),LW
Tristan Scherwey (LW/RW),SC Bern,44,9,19,28,0.64,45,7,https://www.eliteprospects.com/player/17685/tristan-scherwey,2018-2019,nl,Tristan Scherwey (LW/RW),LW/RW
Eero Elo (LW/RW),SCL Tigers,41,17,10,27,0.66,12,0,https://www.eliteprospects.com/player/17014/eero-elo,2018-2019,nl,Eero Elo (LW/RW),LW/RW
Fabio Hofer (RW),HC Ambrì-Piotta,49,13,14,27,0.55,20,-1,https://www.eliteprospects.com/player/20612/fabio-hofer,2018-2019,nl,Fabio Hofer (RW),RW
Fredrik Pettersson (RW),ZSC Lions,38,12,15,27,0.71,26,-3,https://www.eliteprospects.com/player/1715/fredrik-pettersson,2018-2019,nl,Fredrik Pettersson (RW),RW
Andrew Miller (C/RW),HC Fribourg-Gottéron,40,11,16,27,0.68,12,3,https://www.eliteprospects.com/player/17845/andrew-miller,2018-2019,nl,Andrew Miller (C/RW),C/RW
Maxim Noreau (D),ZSC Lions,46,11,16,27,0.59,38,1,https://www.eliteprospects.com/player/12153/maxim-noreau,2018-2019,nl,Maxim Noreau (D),D
Henrik Tömmernes (D),Genève-Servette HC,40,9,18,27,0.68,18,-2,https://www.eliteprospects.com/player/10018/henrik-tommernes,2018-2019,nl,Henrik Tömmernes (D),D
Linus Klasen (LW),HC Lugano,31,6,21,27,0.87,18,16,https://www.eliteprospects.com/player/2295/linus-klasen,2018-2019,nl,Linus Klasen (LW),LW
Casey Wellman (C),SC Rapperswil-Jona Lakers,39,17,9,26,0.67,10,-7,https://www.eliteprospects.com/player/17844/casey-wellman,2018-2019,nl,Casey Wellman (C),C
Sven Senteler (C/LW),EV Zug,50,17,9,26,0.52,22,3,https://www.eliteprospects.com/player/89731/sven-senteler,2018-2019,nl,Sven Senteler (C/LW),C/LW
Luca Fazzini (LW/RW),HC Lugano,50,12,14,26,0.52,14,-6,https://www.eliteprospects.com/player/90308/luca-fazzini,2018-2019,nl,Luca Fazzini (LW/RW),LW/RW
Andrei Bykov (C),HC Fribourg-Gottéron,41,6,20,26,0.63,18,8,https://www.eliteprospects.com/player/10619/andrei-bykov,2018-2019,nl,Andrei Bykov (C),C
Jonas Junland (D),Lausanne HC,31,3,23,26,0.84,18,18,https://www.eliteprospects.com/player/3442/jonas-junland,2018-2019,nl,Jonas Junland (D),D
Damien Riat (W/C),EHC Biel-Bienne,48,11,14,25,0.52,38,4,https://www.eliteprospects.com/player/153634/damien-riat,2018-2019,nl,Damien Riat (W/C),W/C
