player,team,gp,g,a,tp,ppg,pim,+/-,link,season,league,playername,position
Radoslav Macík (LW),HK Poprad,49,9,7,16,0.33,28,3,https://www.eliteprospects.com/player/75335/radoslav-macik,2018-2019,slovakia,Radoslav Macík (LW),LW
Branislav Fábry (LW),HC Nove Zamky,57,9,7,16,0.28,40,-8,https://www.eliteprospects.com/player/31539/branislav-fabry,2018-2019,slovakia,Branislav Fábry (LW),LW
Martin Rýgl (D),HK Dukla Trencin,57,7,9,16,0.28,54,25,https://www.eliteprospects.com/player/22661/martin-rygl,2018-2019,slovakia,Martin Rýgl (D),D
Eduard Simun (C),HC Nove Zamky,25,6,10,16,0.64,10,-7,https://www.eliteprospects.com/player/151739/eduard-simun,2018-2019,slovakia,Eduard Simun (C),C
Maros Piatka (C),HK 32 Liptovsky Mikulas,50,5,11,16,0.32,12,-14,https://www.eliteprospects.com/player/95371/maros-piatka,2018-2019,slovakia,Maros Piatka (C),C
Tomas Nadasdi (D),HK 32 Liptovsky Mikulas,55,5,11,16,0.29,56,-19,https://www.eliteprospects.com/player/22606/tomas-nadasdi,2018-2019,slovakia,Tomas Nadasdi (D),D
Marcel Petran (D),HK Poprad,56,5,11,16,0.29,76,9,https://www.eliteprospects.com/player/42133/marcel-petran,2018-2019,slovakia,Marcel Petran (D),D
Martin Dudas (D),HC Kosice,57,5,11,16,0.28,98,3,https://www.eliteprospects.com/player/19686/martin-dudas,2018-2019,slovakia,Martin Dudas (D),D
Marko Pöyhönen (D/F),HKM Zvolen,52,4,12,16,0.31,40,12,https://www.eliteprospects.com/player/9916/marko-poyhonen,2018-2019,slovakia,Marko Pöyhönen (D/F),D/F
Tomas Hricina (LW/RW),HC Kosice,49,8,7,15,0.31,22,7,https://www.eliteprospects.com/player/17725/tomas-hricina,2018-2019,slovakia,Tomas Hricina (LW/RW),LW/RW
Matus Chovan (D/F),HC Detva,56,8,7,15,0.27,20,-9,https://www.eliteprospects.com/player/70393/matus-chovan,2018-2019,slovakia,Matus Chovan (D/F),D/F
Martin Daloga (LW/C),HC Detva,44,6,9,15,0.34,12,-15,https://www.eliteprospects.com/player/95707/martin-daloga,2018-2019,slovakia,Martin Daloga (LW/C),LW/C
Zdeněk Král (RW),HC Detva,49,6,9,15,0.31,38,2,https://www.eliteprospects.com/player/162302/zdenek-kral,2018-2019,slovakia,Zdeněk Král (RW),RW
Peter Huzevka (C),MsHK Zilina,34,5,10,15,0.44,20,4,https://www.eliteprospects.com/player/17885/peter-huzevka,2018-2019,slovakia,Peter Huzevka (C),C
Jozef Tibenský (C/LW),HC Detva,52,5,10,15,0.29,26,-10,https://www.eliteprospects.com/player/149082/jozef-tibensky,2018-2019,slovakia,Jozef Tibenský (C/LW),C/LW
Jordon Southorn (D),HC Banska Bystrica,23,4,11,15,0.65,87,10,https://www.eliteprospects.com/player/19076/jordon-southorn,2018-2019,slovakia,Jordon Southorn (D),D
Lukas Duben (D),MsHK Zilina,34,1,14,15,0.44,22,3,https://www.eliteprospects.com/player/97329/lukas-duben,2018-2019,slovakia,Lukas Duben (D),D
Klemen Pretnar (D),HC Kosice,40,1,14,15,0.38,20,4,https://www.eliteprospects.com/player/29880/klemen-pretnar,2018-2019,slovakia,Klemen Pretnar (D),D
Hayden Hodgson (RW/LW),HC Detva,21,7,7,14,0.67,43,-12,https://www.eliteprospects.com/player/188193/hayden-hodgson,2018-2019,slovakia,Hayden Hodgson (RW/LW),RW/LW
Patrik Osko (C),HK 32 Liptovsky Mikulas,49,7,7,14,0.29,10,-9,https://www.eliteprospects.com/player/225336/patrik-osko,2018-2019,slovakia,Patrik Osko (C),C
Lukas Matejka (D),MsHK Zilina,44,5,9,14,0.32,38,-4,https://www.eliteprospects.com/player/43797/lukas-matejka,2018-2019,slovakia,Lukas Matejka (D),D
Mário Kurali (D),HK 32 Liptovsky Mikulas,53,5,9,14,0.26,6,-10,https://www.eliteprospects.com/player/79458/mario-kurali,2018-2019,slovakia,Mário Kurali (D),D
Ivan Datelinka (D),HC Banska Bystrica,57,5,9,14,0.25,66,3,https://www.eliteprospects.com/player/43800/ivan-datelinka,2018-2019,slovakia,Ivan Datelinka (D),D
Tomas Surovy (LW/C),HC Banska Bystrica,25,4,10,14,0.56,6,-4,https://www.eliteprospects.com/player/8681/tomas-surovy,2018-2019,slovakia,Tomas Surovy (LW/C),LW/C
Radoslav Suchý (D),HK 32 Liptovsky Mikulas,41,4,10,14,0.34,12,-10,https://www.eliteprospects.com/player/8621/radoslav-suchy,2018-2019,slovakia,Radoslav Suchý (D),D
Vladimír Mihálik (D),HC Banska Bystrica,49,4,10,14,0.29,42,9,https://www.eliteprospects.com/player/9251/vladimir-mihalik,2018-2019,slovakia,Vladimír Mihálik (D),D
Matus Holenda (D),HK Dukla Trencin,41,2,12,14,0.34,47,6,https://www.eliteprospects.com/player/153194/matus-holenda,2018-2019,slovakia,Matus Holenda (D),D
Miroslav Zatko (D),HC Nove Zamky,43,0,14,14,0.33,20,16,https://www.eliteprospects.com/player/77702/miroslav-zatko,2018-2019,slovakia,Miroslav Zatko (D),D
Robert Varga (LW),totals,52,6,7,13,0.25,48,-4,https://www.eliteprospects.com/player/98776/robert-varga,2018-2019,slovakia,Robert Varga (LW),LW
Peter Valent (LW/C),HC Detva,51,5,8,13,0.25,18,-3,https://www.eliteprospects.com/player/122005/peter-valent,2018-2019,slovakia,Peter Valent (LW/C),LW/C
Patrik Rogon (RW),HC Nove Zamky,57,4,9,13,0.23,55,-14,https://www.eliteprospects.com/player/196244/patrik-rogon,2018-2019,slovakia,Patrik Rogon (RW),RW
Arturs Salija (D),HK Poprad,49,3,10,13,0.27,67,2,https://www.eliteprospects.com/player/50381/arturs-salija,2018-2019,slovakia,Arturs Salija (D),D
Branislav Mezei (D),HK Nitra,57,1,12,13,0.23,77,26,https://www.eliteprospects.com/player/8653/branislav-mezei,2018-2019,slovakia,Branislav Mezei (D),D
Erik Caladi (RW),HK Nitra,52,8,4,12,0.23,18,3,https://www.eliteprospects.com/player/15322/erik-caladi,2018-2019,slovakia,Erik Caladi (RW),RW
Andrej Kollár (C/W),totals,30,6,6,12,0.40,4,-17,https://www.eliteprospects.com/player/269545/andrej-kollar,2018-2019,slovakia,Andrej Kollár (C/W),C/W
Radim Hruska (C),HC Nove Zamky,45,6,6,12,0.27,18,2,https://www.eliteprospects.com/player/23514/radim-hruska,2018-2019,slovakia,Radim Hruska (C),C
Filip Surovka (C),MsHK Zilina,51,6,6,12,0.24,8,-23,https://www.eliteprospects.com/player/94950/filip-surovka,2018-2019,slovakia,Filip Surovka (C),C
Tomas Klima (C),HC Kosice,51,6,6,12,0.24,12,7,https://www.eliteprospects.com/player/48183/tomas-klima,2018-2019,slovakia,Tomas Klima (C),C
John Negrin (D),MAC Újbuda,35,4,8,12,0.34,30,-11,https://www.eliteprospects.com/player/11398/john-negrin,2018-2019,slovakia,John Negrin (D),D
Mikhail Kuklev (D),HC Detva,40,4,8,12,0.30,75,6,https://www.eliteprospects.com/player/19407/mikhail-kuklev,2018-2019,slovakia,Mikhail Kuklev (D),D
Radomir Heizer (C),HK Poprad,53,4,8,12,0.23,20,4,https://www.eliteprospects.com/player/45998/radomir-heizer,2018-2019,slovakia,Radomir Heizer (C),C
Igor Ignatushkin (C),HC Kosice,26,3,9,12,0.46,6,-6,https://www.eliteprospects.com/player/9575/igor-ignatushkin,2018-2019,slovakia,Igor Ignatushkin (C),C
René Piegl (D),MsHK Zilina,54,2,10,12,0.22,14,-13,https://www.eliteprospects.com/player/212026/rene-piegl,2018-2019,slovakia,René Piegl (D),D
Tomas Starosta (D),HK Dukla Trencin,19,1,11,12,0.63,16,4,https://www.eliteprospects.com/player/12451/tomas-starosta,2018-2019,slovakia,Tomas Starosta (D),D
Juraj Milý (RW),totals,52,7,4,11,0.21,45,-11,https://www.eliteprospects.com/player/177027/juraj-mily,2018-2019,slovakia,Juraj Milý (RW),RW
Maros Surovy (LW/C),HC Detva,53,7,4,11,0.21,12,-4,https://www.eliteprospects.com/player/156299/maros-surovy,2018-2019,slovakia,Maros Surovy (LW/C),LW/C
Richard Nejezchleb (LW/RW),HC Nove Zamky,39,6,5,11,0.28,48,-9,https://www.eliteprospects.com/player/100577/richard-nejezchleb,2018-2019,slovakia,Richard Nejezchleb (LW/RW),LW/RW
Jozef Balej (RW),MsHK Zilina,31,3,8,11,0.35,18,-14,https://www.eliteprospects.com/player/9641/jozef-balej,2018-2019,slovakia,Jozef Balej (RW),RW
Patrik Koys (RW/LW),HK Poprad,33,3,8,11,0.33,10,7,https://www.eliteprospects.com/player/60605/patrik-koys,2018-2019,slovakia,Patrik Koys (RW/LW),RW/LW
Tamás Pozsgai (D),MAC Újbuda,57,3,8,11,0.19,40,-4,https://www.eliteprospects.com/player/47778/tamas-pozsgai,2018-2019,slovakia,Tamás Pozsgai (D),D
Mark Fraser (D),HKM Zvolen,27,1,10,11,0.41,69,8,https://www.eliteprospects.com/player/11020/mark-fraser,2018-2019,slovakia,Mark Fraser (D),D
Samuel Petras (C/RW),HKM Zvolen,57,7,3,10,0.18,84,3,https://www.eliteprospects.com/player/160841/samuel-petras,2018-2019,slovakia,Samuel Petras (C/RW),C/RW
Simon Petras (RW),HC Kosice,42,5,5,10,0.24,12,1,https://www.eliteprospects.com/player/166024/simon-petras,2018-2019,slovakia,Simon Petras (RW),RW
Gilbert Gabor (C/LW),HC Banska Bystrica,49,5,5,10,0.20,52,1,https://www.eliteprospects.com/player/61769/gilbert-gabor,2018-2019,slovakia,Gilbert Gabor (C/LW),C/LW
Lukas Hrusik (LW),HK Nitra,50,5,5,10,0.20,39,5,https://www.eliteprospects.com/player/157388/lukas-hrusik,2018-2019,slovakia,Lukas Hrusik (LW),LW
Tomas Török (RW/LW),totals,51,5,5,10,0.20,8,2,https://www.eliteprospects.com/player/95413/tomas-torok,2018-2019,slovakia,Tomas Török (RW/LW),RW/LW
Mario Bliznak (C),HK Dukla Trencin,23,4,6,10,0.43,6,0,https://www.eliteprospects.com/player/11598/mario-bliznak,2018-2019,slovakia,Mario Bliznak (C),C
Dylan Richard (C/LW),HK Nitra,24,4,6,10,0.42,14,3,https://www.eliteprospects.com/player/48780/dylan-richard,2018-2019,slovakia,Dylan Richard (C/LW),C/LW
Garrett Mitchell (RW/C),HKM Zvolen,28,4,6,10,0.36,70,-3,https://www.eliteprospects.com/player/21032/garrett-mitchell,2018-2019,slovakia,Garrett Mitchell (RW/C),RW/C
Lukas Ziak (F),HK 32 Liptovsky Mikulas,44,4,6,10,0.23,8,-6,https://www.eliteprospects.com/player/177056/lukas-ziak,2018-2019,slovakia,Lukas Ziak (F),F
Joona Erving (D),HK Poprad,50,3,7,10,0.20,18,7,https://www.eliteprospects.com/player/47270/joona-erving,2018-2019,slovakia,Joona Erving (D),D
Mitch Versteeg (D),HK Nitra,36,2,8,10,0.28,81,9,https://www.eliteprospects.com/player/23168/mitch-versteeg,2018-2019,slovakia,Mitch Versteeg (D),D
Petr Ulrych (D),HKM Zvolen,46,2,8,10,0.22,74,13,https://www.eliteprospects.com/player/152058/petr-ulrych,2018-2019,slovakia,Petr Ulrych (D),D
Matus Rais (D),HK Nitra,49,2,8,10,0.20,55,18,https://www.eliteprospects.com/player/17742/matus-rais,2018-2019,slovakia,Matus Rais (D),D
Karol Korím (D),totals,55,2,8,10,0.18,50,12,https://www.eliteprospects.com/player/97521/karol-korim,2018-2019,slovakia,Karol Korím (D),D
Stefan Fabian (D),HK Poprad,51,1,9,10,0.20,10,1,https://www.eliteprospects.com/player/41790/stefan-fabian,2018-2019,slovakia,Stefan Fabian (D),D
Michal Novák (D),HC Nove Zamky,54,1,9,10,0.19,150,-6,https://www.eliteprospects.com/player/6040/michal-novak,2018-2019,slovakia,Michal Novák (D),D
Patrik Stevuliak (LW),HK 32 Liptovsky Mikulas,46,5,4,9,0.20,52,-22,https://www.eliteprospects.com/player/177033/patrik-stevuliak,2018-2019,slovakia,Patrik Stevuliak (LW),LW
Justin Buzzeo (LW/RW),HK Poprad,10,4,5,9,0.90,18,-1,https://www.eliteprospects.com/player/54165/justin-buzzeo,2018-2019,slovakia,Justin Buzzeo (LW/RW),LW/RW
Martin Jakúbek (RW/LW),HC Nove Zamky,40,4,5,9,0.23,30,-3,https://www.eliteprospects.com/player/48286/martin-jakubek,2018-2019,slovakia,Martin Jakúbek (RW/LW),RW/LW
Balázs Láda (D),DVTK Jegesmedvék,53,4,5,9,0.17,26,3,https://www.eliteprospects.com/player/48302/balazs-lada,2018-2019,slovakia,Balázs Láda (D),D
Jozef Svec (LW),HK Dukla Trencin,57,4,5,9,0.16,54,-2,https://www.eliteprospects.com/player/157397/jozef-svec,2018-2019,slovakia,Jozef Svec (LW),LW
Mátyás Odnoga (D/F),MAC Újbuda,56,3,6,9,0.16,30,-16,https://www.eliteprospects.com/player/116724/matyas-odnoga,2018-2019,slovakia,Mátyás Odnoga (D/F),D/F
Matej Baca (D),HK 32 Liptovsky Mikulas,57,3,6,9,0.16,81,-16,https://www.eliteprospects.com/player/177047/matej-baca,2018-2019,slovakia,Matej Baca (D),D
Scott Macaulay (D),MAC Újbuda,47,1,8,9,0.19,26,-12,https://www.eliteprospects.com/player/39962/scott-macaulay,2018-2019,slovakia,Scott Macaulay (D),D
Marco Halama (C),HKM Zvolen,20,4,4,8,0.40,6,10,https://www.eliteprospects.com/player/166426/marco-halama,2018-2019,slovakia,Marco Halama (C),C
Ivan Jankovic (D),MsHK Zilina,37,4,4,8,0.22,40,3,https://www.eliteprospects.com/player/41577/ivan-jankovic,2018-2019,slovakia,Ivan Jankovic (D),D
Dániel Kiss (D),DVTK Jegesmedvék,52,4,4,8,0.15,54,2,https://www.eliteprospects.com/player/28794/daniel-kiss,2018-2019,slovakia,Dániel Kiss (D),D
Levko Koper (LW),HC Banska Bystrica,20,3,5,8,0.40,4,3,https://www.eliteprospects.com/player/18603/levko-koper,2018-2019,slovakia,Levko Koper (LW),LW
Miika Heikkilä (RW),HK 32 Liptovsky Mikulas,21,3,5,8,0.38,10,-7,https://www.eliteprospects.com/player/25376/miika-heikkila,2018-2019,slovakia,Miika Heikkilä (RW),RW
Roman Zitny (RW/LW),HC Kosice,45,3,5,8,0.18,6,8,https://www.eliteprospects.com/player/223456/roman-zitny,2018-2019,slovakia,Roman Zitny (RW/LW),RW/LW
Jan Tavoda (D),HK Poprad,50,3,5,8,0.16,90,0,https://www.eliteprospects.com/player/45941/jan-tavoda,2018-2019,slovakia,Jan Tavoda (D),D
Martin Andrisík (LW),HKM Zvolen,49,2,6,8,0.16,10,3,https://www.eliteprospects.com/player/157403/martin-andrisik,2018-2019,slovakia,Martin Andrisík (LW),LW
David Ruzicka (D),HKM Zvolen,52,2,6,8,0.15,18,14,https://www.eliteprospects.com/player/9287/david-ruzicka,2018-2019,slovakia,David Ruzicka (D),D
Tomas Slovak (D),totals,47,1,7,8,0.17,28,9,https://www.eliteprospects.com/player/8420/tomas-slovak,2018-2019,slovakia,Tomas Slovak (D),D
Frederik Fekiac (D),HC Detva,56,1,7,8,0.14,26,-20,https://www.eliteprospects.com/player/201647/frederik-fekiac,2018-2019,slovakia,Frederik Fekiac (D),D
Matej Cesik (C),HC Banska Bystrica,48,0,8,8,0.17,8,0,https://www.eliteprospects.com/player/15193/matej-cesik,2018-2019,slovakia,Matej Cesik (C),C
Andrew Radjenovic (C),HK Dukla Trencin,10,4,3,7,0.70,6,1,https://www.eliteprospects.com/player/62611/andrew-radjenovic,2018-2019,slovakia,Andrew Radjenovic (C),C
Denis Hudec (RW),HK Dukla Trencin,57,4,3,7,0.12,44,-5,https://www.eliteprospects.com/player/97523/denis-hudec,2018-2019,slovakia,Denis Hudec (RW),RW
Ben Betker (D),HC Detva,22,3,4,7,0.32,36,-2,https://www.eliteprospects.com/player/102378/ben-betker,2018-2019,slovakia,Ben Betker (D),D
Martin Lendak (D),totals,35,2,5,7,0.20,4,-1,https://www.eliteprospects.com/player/89278/martin-lendak,2018-2019,slovakia,Martin Lendak (D),D
Tomas Bokros (D),HK Dukla Trencin,36,2,5,7,0.19,30,7,https://www.eliteprospects.com/player/48623/tomas-bokros,2018-2019,slovakia,Tomas Bokros (D),D
Radek Dlouhý (LW),HK Dukla Trencin,36,2,5,7,0.19,61,-4,https://www.eliteprospects.com/player/24114/radek-dlouhy,2018-2019,slovakia,Radek Dlouhý (LW),LW
Peter Ordzovenský (D),HC Nove Zamky,57,2,5,7,0.12,6,-11,https://www.eliteprospects.com/player/48604/peter-ordzovensky,2018-2019,slovakia,Peter Ordzovenský (D),D
Filip Dundacek (D),HC Nove Zamky,14,1,6,7,0.50,0,1,https://www.eliteprospects.com/player/164074/filip-dundacek,2018-2019,slovakia,Filip Dundacek (D),D
Matus Palocko (LW),HK Poprad,19,1,6,7,0.37,2,2,https://www.eliteprospects.com/player/83455/matus-palocko,2018-2019,slovakia,Matus Palocko (LW),LW
Lukas Kozak (D),HK Poprad,21,1,6,7,0.33,10,9,https://www.eliteprospects.com/player/34743/lukas-kozak,2018-2019,slovakia,Lukas Kozak (D),D
Vaclav Cizek (D),HC Kosice,48,0,7,7,0.15,24,23,https://www.eliteprospects.com/player/33052/vaclav-cizek,2018-2019,slovakia,Vaclav Cizek (D),D
Peter Bjaloncik (C),HK Poprad,11,4,2,6,0.55,29,1,https://www.eliteprospects.com/player/234779/peter-bjaloncik,2018-2019,slovakia,Peter Bjaloncik (C),C
Andrej Listiak (F),HK 32 Liptovsky Mikulas,39,4,2,6,0.15,34,-13,https://www.eliteprospects.com/player/141819/andrej-listiak,2018-2019,slovakia,Andrej Listiak (F),F
Kevin Szabad (F),MAC Újbuda,44,4,2,6,0.14,64,-3,https://www.eliteprospects.com/player/263778/kevin-szabad,2018-2019,slovakia,Kevin Szabad (F),F
Jiri Gula (D),HK Dukla Trencin,25,3,3,6,0.24,14,6,https://www.eliteprospects.com/player/67120/jiri-gula,2018-2019,slovakia,Jiri Gula (D),D
Daniil Fominykh (RW),HK Nitra,33,3,3,6,0.18,2,1,https://www.eliteprospects.com/player/332213/daniil-fominykh,2018-2019,slovakia,Daniil Fominykh (RW),RW
Marcel Holovic (LW),HKM Zvolen,35,3,3,6,0.17,12,0,https://www.eliteprospects.com/player/33145/marcel-holovic,2018-2019,slovakia,Marcel Holovic (LW),LW
Matej Sikela (RW),MsHK Zilina,45,3,3,6,0.13,4,-10,https://www.eliteprospects.com/player/87514/matej-sikela,2018-2019,slovakia,Matej Sikela (RW),RW
Márk Miskolczi (LW),DVTK Jegesmedvék,53,3,3,6,0.11,35,-9,https://www.eliteprospects.com/player/48438/mark-miskolczi,2018-2019,slovakia,Márk Miskolczi (LW),LW
Jakub Nemec (D/F),HK 32 Liptovsky Mikulas,56,3,3,6,0.11,24,-15,https://www.eliteprospects.com/player/225326/jakub-nemec,2018-2019,slovakia,Jakub Nemec (D/F),D/F
Nikolai Zhilin (D),MsHK Zilina,35,2,4,6,0.17,40,-3,https://www.eliteprospects.com/player/157367/nikolai-zhilin,2018-2019,slovakia,Nikolai Zhilin (D),D
Peter Lichanec (C/LW),totals,38,2,4,6,0.16,28,-3,https://www.eliteprospects.com/player/96028/peter-lichanec,2018-2019,slovakia,Peter Lichanec (C/LW),C/LW
Marek Hudec (D),totals,41,2,4,6,0.15,49,-6,https://www.eliteprospects.com/player/157998/marek-hudec,2018-2019,slovakia,Marek Hudec (D),D
Dominik Rehák (C/RW),MsHK Zilina,52,2,4,6,0.12,6,-14,https://www.eliteprospects.com/player/82647/dominik-rehak,2018-2019,slovakia,Dominik Rehák (C/RW),C/RW
Milos Kelemen (RW/LW),HKM Zvolen,16,1,5,6,0.38,8,3,https://www.eliteprospects.com/player/272381/milos-kelemen,2018-2019,slovakia,Milos Kelemen (RW/LW),RW/LW
Martin Krajnak (C),HC Kosice,27,1,5,6,0.22,0,7,https://www.eliteprospects.com/player/208867/martin-krajnak,2018-2019,slovakia,Martin Krajnak (C),C
Juraj Cebák (D),HK Dukla Trencin,27,1,5,6,0.22,10,4,https://www.eliteprospects.com/player/41667/juraj-cebak,2018-2019,slovakia,Juraj Cebák (D),D
Patrik Luza (D),HK Dukla Trencin,30,1,5,6,0.20,14,4,https://www.eliteprospects.com/player/95502/patrik-luza,2018-2019,slovakia,Patrik Luza (D),D
Janis Andersons (D),HC Nove Zamky,52,1,5,6,0.12,8,-7,https://www.eliteprospects.com/player/3826/janis-andersons,2018-2019,slovakia,Janis Andersons (D),D
Branislav Kubka (D),HC Banska Bystrica,54,1,5,6,0.11,38,4,https://www.eliteprospects.com/player/56384/branislav-kubka,2018-2019,slovakia,Branislav Kubka (D),D
Peter Frühauf (D),HK Dukla Trencin,38,0,6,6,0.16,22,3,https://www.eliteprospects.com/player/27225/peter-fruhauf,2018-2019,slovakia,Peter Frühauf (D),D
Jimmy McDowell (D),HC Kosice,45,0,6,6,0.13,16,-1,https://www.eliteprospects.com/player/45590/jimmy-mcdowell,2018-2019,slovakia,Jimmy McDowell (D),D
Márton Pápa (F),MAC Újbuda,40,4,1,5,0.13,8,-12,https://www.eliteprospects.com/player/93503/marton-papa,2018-2019,slovakia,Márton Pápa (F),F
Keni Karalahti (D),HK Poprad,31,3,2,5,0.16,16,2,https://www.eliteprospects.com/player/66661/keni-karalahti,2018-2019,slovakia,Keni Karalahti (D),D
Vladimir Vybiral (LW),HK 32 Liptovsky Mikulas,33,3,2,5,0.15,8,-5,https://www.eliteprospects.com/player/275721/vladimir-vybiral,2018-2019,slovakia,Vladimir Vybiral (LW),LW
Demid Luchnikov (F/D),HC Detva,15,2,3,5,0.33,2,3,https://www.eliteprospects.com/player/319361/demid-luchnikov,2018-2019,slovakia,Demid Luchnikov (F/D),F/D
Jakub Urbanek (C/RW),Team Slovakia U20,24,2,3,5,0.21,10,-17,https://www.eliteprospects.com/player/275263/jakub-urbanek,2018-2019,slovakia,Jakub Urbanek (C/RW),C/RW
Oliver Giertl (C),totals,29,2,3,5,0.17,16,-20,https://www.eliteprospects.com/player/271718/oliver-giertl,2018-2019,slovakia,Oliver Giertl (C),C
David Hrazdira (F),MsHK Zilina,42,2,3,5,0.12,4,-20,https://www.eliteprospects.com/player/100463/david-hrazdira,2018-2019,slovakia,David Hrazdira (F),F
Vojtech Zelenak (D),HKM Zvolen,50,1,4,5,0.10,10,13,https://www.eliteprospects.com/player/252412/vojtech-zelenak,2018-2019,slovakia,Vojtech Zelenak (D),D
Zsombor Garát (D),MAC Újbuda,38,0,5,5,0.13,14,-7,https://www.eliteprospects.com/player/153303/zsombor-garat,2018-2019,slovakia,Zsombor Garát (D),D
Patrik Halama (RW),HKM Zvolen,24,3,1,4,0.17,2,2,https://www.eliteprospects.com/player/275216/patrik-halama,2018-2019,slovakia,Patrik Halama (RW),RW
Michal Kabac (LW/C),HC Banska Bystrica,49,3,1,4,0.08,34,-8,https://www.eliteprospects.com/player/177051/michal-kabac,2018-2019,slovakia,Michal Kabac (LW/C),LW/C
Patrik Lamper (LW/RW),HC Banska Bystrica,5,2,2,4,0.80,4,1,https://www.eliteprospects.com/player/89373/patrik-lamper,2018-2019,slovakia,Patrik Lamper (LW/RW),LW/RW
Eliezer Sherbatov (LW),HC Kosice,8,2,2,4,0.50,0,3,https://www.eliteprospects.com/player/45166/eliezer-sherbatov,2018-2019,slovakia,Eliezer Sherbatov (LW),LW
Rastislav Vaclav (RW/C),HK Poprad,27,2,2,4,0.15,18,2,https://www.eliteprospects.com/player/274997/rastislav-vaclav,2018-2019,slovakia,Rastislav Vaclav (RW/C),RW/C
Roman Derlyuk (D),HC Kosice,8,1,3,4,0.50,2,-2,https://www.eliteprospects.com/player/18010/roman-derlyuk,2018-2019,slovakia,Roman Derlyuk (D),D
Michal Luhovy (RW),HK Dukla Trencin,17,1,3,4,0.24,2,1,https://www.eliteprospects.com/player/302594/michal-luhovy,2018-2019,slovakia,Michal Luhovy (RW),RW
Enrik Svec (D),Team Slovakia U20,24,1,3,4,0.17,8,-19,https://www.eliteprospects.com/player/343198/enrik-svec,2018-2019,slovakia,Enrik Svec (D),D
Brenden Miller (D),HC Banska Bystrica,25,1,3,4,0.16,60,3,https://www.eliteprospects.com/player/154705/brenden-miller,2018-2019,slovakia,Brenden Miller (D),D
Lukas Lunter (LW/RW),totals,32,1,3,4,0.13,2,-13,https://www.eliteprospects.com/player/274252/lukas-lunter,2018-2019,slovakia,Lukas Lunter (LW/RW),LW/RW
Samuel Fereta (D),HK 32 Liptovsky Mikulas,45,1,3,4,0.09,26,-3,https://www.eliteprospects.com/player/271527/samuel-fereta,2018-2019,slovakia,Samuel Fereta (D),D
Daniel Gachulinec (D),HC Detva,51,1,3,4,0.08,40,-10,https://www.eliteprospects.com/player/157656/daniel-gachulinec,2018-2019,slovakia,Daniel Gachulinec (D),D
Filip Mezovský (D),HK 32 Liptovsky Mikulas,56,1,3,4,0.07,42,-16,https://www.eliteprospects.com/player/102446/filip-mezovsky,2018-2019,slovakia,Filip Mezovský (D),D
Rene Svitana (C),totals,20,0,4,4,0.20,10,-8,https://www.eliteprospects.com/player/275013/rene-svitana,2018-2019,slovakia,Rene Svitana (C),C
Sebastian Slavik (LW),totals,30,0,4,4,0.13,2,-2,https://www.eliteprospects.com/player/328145/sebastian-slavik,2018-2019,slovakia,Sebastian Slavik (LW),LW
Martin Nemcik (D),HC Banska Bystrica,30,0,4,4,0.13,28,13,https://www.eliteprospects.com/player/96786/martin-nemcik,2018-2019,slovakia,Martin Nemcik (D),D
Brúnó Kreisz (F),MAC Újbuda,35,0,4,4,0.11,4,-5,https://www.eliteprospects.com/player/267864/bruno-kreisz,2018-2019,slovakia,Brúnó Kreisz (F),F
Roland Vokla (D),MAC Újbuda,45,0,4,4,0.09,8,-8,https://www.eliteprospects.com/player/153289/roland-vokla,2018-2019,slovakia,Roland Vokla (D),D
Samuel Hain (D),HC Nove Zamky,51,0,4,4,0.08,20,3,https://www.eliteprospects.com/player/229186/samuel-hain,2018-2019,slovakia,Samuel Hain (D),D
Oliver Jokel (LW),HC Kosice,15,3,0,3,0.20,0,-1,https://www.eliteprospects.com/player/19363/oliver-jokel,2018-2019,slovakia,Oliver Jokel (LW),LW
Maxim Yakutsenya (RW),HC Detva,7,2,1,3,0.43,8,1,https://www.eliteprospects.com/player/20517/maxim-yakutsenya,2018-2019,slovakia,Maxim Yakutsenya (RW),RW
Kevin Miller (LW),HK Poprad,10,2,1,3,0.30,4,-1,https://www.eliteprospects.com/player/107625/kevin-miller,2018-2019,slovakia,Kevin Miller (LW),LW
Tomas Matousek (LW),HC Banska Bystrica,11,2,1,3,0.27,2,-3,https://www.eliteprospects.com/player/66012/tomas-matousek,2018-2019,slovakia,Tomas Matousek (LW),LW
Matus Havrila (C),Team Slovakia U20,24,2,1,3,0.13,20,-20,https://www.eliteprospects.com/player/313739/matus-havrila,2018-2019,slovakia,Matus Havrila (C),C
Adam Nechaj (LW),HK 32 Liptovsky Mikulas,26,2,1,3,0.12,4,-10,https://www.eliteprospects.com/player/275720/adam-nechaj,2018-2019,slovakia,Adam Nechaj (LW),LW
Jakub Minárik (C),totals,26,2,1,3,0.12,4,-11,https://www.eliteprospects.com/player/332980/jakub-minarik,2018-2019,slovakia,Jakub Minárik (C),C
Juraj Siska (RW/C),HK Nitra,30,2,1,3,0.10,26,-8,https://www.eliteprospects.com/player/152763/juraj-siska,2018-2019,slovakia,Juraj Siska (RW/C),RW/C
Adam Spankovic (F/D),HK Dukla Trencin,33,2,1,3,0.09,2,1,https://www.eliteprospects.com/player/179157/adam-spankovic,2018-2019,slovakia,Adam Spankovic (F/D),F/D
Andrej Golian (D),totals,39,2,1,3,0.08,14,-32,https://www.eliteprospects.com/player/423750/andrej-golian,2018-2019,slovakia,Andrej Golian (D),D
