player,position,link,total_gp,total_g,total_a,total_tp,total_ppg,total_pim,total_pm,nhle_g,nhle_a,nhle_tp,nhle_ppg,legacy_veteran,new_veteran,non_vet_ufa,league,call_up_send_down,active
Philip Gogulla,LW,/player/10612/philip-gogulla,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,del,—,False
Yannick Weber,D,/player/10615/yannick-weber,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,nl,—,False
Ross Johnston,LW/RW,/player/106154/ross-johnston,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,nhl,—,False
Kirill Voronin,RW/LW,/player/106190/kirill-voronin,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,khl,—,False
Vyacheslav Voynov,D,/player/10627/vyacheslav-voynov,1,0,0,0,0.0,0,-2,0.0,0.0,0.0,0.0,False,False,False,khl,—,True
Hunter Fejes,LW,/player/106299/hunter-fejes,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,czechia,—,False
Mislav Rosandic,D,/player/106384/mislav-rosandic,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,slovakia,—,False
Nick Foligno,LW/RW,/player/10675/nick-foligno,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,nhl,—,False
Alexei Maklyukov,D,/player/106894/alexei-maklyukov,1,0,1,1,1.0,0,1,0.0,0.6,0.6,0.6,False,False,False,khl,—,True
Damir Britikov,D,/player/1069795/damir-britikov,1,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,khl,—,True
Yevgeni Kulik,D,/player/106998/yevgeni-kulik,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,khl,—,False
Nick Seeler,D,/player/107099/nick-seeler,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,nhl,—,False
Oscar Lindberg,C,/player/10711/oscar-lindberg,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,shl,—,False
Mark Friedman,D,/player/107113/mark-friedman,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,shl,—,False
Adam Larsson,D,/player/10713/adam-larsson,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,nhl,—,False
Tristan Thompson,D,/player/107859/tristan-thompson,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,echl,—,False
Nick Merkley,RW/C,/player/107894/nick-merkley,1,0,0,0,0.0,2,-1,0.0,0.0,0.0,0.0,False,False,False,khl,—,True
Hudson Elynuik,C/LW,/player/107909/hudson-elynuik,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,del,—,False
Jonny Brodzinski,C/RW,/player/108294/jonny-brodzinski,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,nhl,—,False
Teodors Blugers,C,/player/108347/teodors-blugers,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,nhl,—,False
Pavel Koledov,D,/player/108381/pavel-koledov,1,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,khl,—,True
Dario Meyer,RW,/player/108384/dario-meyer,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,nl,—,False
Keaton Thompson,D,/player/108393/keaton-thompson,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,del,—,False
Bobby McMann,C/LW,/player/108467/bobby-mcmann,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,nhl,—,False
Kale Clague,D,/player/108472/kale-clague,2,0,0,0,0.0,0,1,0.0,0.0,0.0,0.0,False,False,False,khl,—,True
Nikita Zadorov,D,/player/108648/nikita-zadorov,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,nhl,—,False
Sergei Tolchinsky,RW/LW,/player/108653/sergei-tolchinsky,1,1,2,3,3.0,0,2,0.6,1.2,1.9,1.9,False,False,False,khl,—,True
Ivan Barbashyov,C/W,/player/108659/ivan-barbashyov,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,nhl,—,False
Valeri Nichushkin,RW/LW,/player/108661/valeri-nichushkin,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,nhl,—,False
Mats Zuccarello,RW/LW,/player/10881/mats-zuccarello,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,nhl,—,False
Eetu Salmivuori,D,/player/1090226/eetu-salmivuori,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,liiga,—,False
Veli-Matti Savinainen,W/C,/player/10920/veli-matti-savinainen,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,liiga,—,False
Miroslav Forman,RW,/player/109389/miroslav-forman,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,czechia,—,False
Andrew Poturalski,C/RW,/player/109632/andrew-poturalski,1,0,0,0,0.0,0,-1,0.0,0.0,0.0,0.0,False,False,False,khl,—,True
Philip Holm,D,/player/11070/philip-holm,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,shl,—,False
Sebastian Strandberg,C,/player/11085/sebastian-strandberg,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,shl,—,False
Trevor Murphy,D,/player/110850/trevor-murphy,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,khl,—,False
Jordan Eberle,RW/C,/player/11098/jordan-eberle,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,nhl,—,False
Steven Stamkos,C/W,/player/11113/steven-stamkos,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,nhl,—,False
Lenni Kokkonen,D,/player/1113813/lenni-kokkonen,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,liiga,—,False
Elias Oksanen,RW,/player/1115022/elias-oksanen,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,liiga,—,False
Simon Bertilsson,D,/player/11173/simon-bertilsson,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,shl,—,False
Jakub Zboril,D,/player/112379/jakub-zboril,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,czechia,—,False
Patrik Koch,D,/player/112388/patrik-koch,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,czechia,—,False
Petrus Palmu,RW/LW,/player/112892/petrus-palmu,1,0,1,1,1.0,0,1,0.0,0.4,0.4,0.4,False,False,False,liiga,—,True
Alex Pietrangelo,D,/player/11317/alex-pietrangelo,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,nhl,—,False
Chris DiDomenico,C/RW,/player/11319/chris-didomenico,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,shl,—,False
Justin Kloos,C/RW,/player/113322/justin-kloos,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,shl,—,False
Carl Grundström,LW/RW,/player/113516/carl-grundstrom,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,nhl,—,False
Lucas Ekeståhl Jonsson,D,/player/113517/lucas-ekestahl-jonsson,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,shl,—,False
Teemu Hartikainen,C/W,/player/11365/teemu-hartikainen,2,0,0,0,0.0,0,1,0.0,0.0,0.0,0.0,False,False,False,liiga,—,True
Ilari Melart,D,/player/11374/ilari-melart,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,liiga,—,False
Filip Berglund,D,/player/113834/filip-berglund,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,shl,—,False
Tomi Sallinen,C/W,/player/11384/tomi-sallinen,1,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,liiga,—,True
Luke Schenn,D,/player/11400/luke-schenn,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,nhl,—,False
Ian Cole,D,/player/11456/ian-cole,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,nhl,—,False
Ryan McDonagh,D,/player/11458/ryan-mcdonagh,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,nhl,—,False
J.T. Compher,W/C,/player/114800/j-t-compher,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,nhl,—,False
Hudson Fasching,RW/LW,/player/114801/hudson-fasching,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,shl,—,False
Adam Ollas Mattsson,D,/player/114812/adam-ollas-mattsson,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,shl,—,False
Christoffer Ehn,C/LW,/player/115020/christoffer-ehn,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,shl,—,False
Andreas Englund,D,/player/115148/andreas-englund,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,ahl,—,False
